pV_FFA_P_inst;pV_DACH_P_inst;storage_ffa_E_max;storage_dach_E_max;Wind_P_el_n;CAPEX;one_minus_oa_times_oc
3511294.016066159;14282681.243424999;23595415185.266075;21040579535.120106;12332368.559293533;29520763.783320803;0.29265422243255645
76174312.91748829;6381762.986820001;104488753013.72069;58913752722.05439;11738185.416463034;67259954.8867368;0.2317433061503411
11003731.999138376;7812000.857793752;21261835317.379635;5890703644.70168;4329385.626446276;18560272.43437175;0.417136378435635
50974417.986576214;10246693.563425649;80094243707.86382;66286694137.52777;3565619.4632094237;52064282.65699212;0.36666895382891296
87404076.74353907;12109075.12706469;21521043279.05938;33815905218.32814;5473411.093573278;65808438.83706306;0.30334791252973436
88801405.41825674;3786918.0673715104;73400474149.89214;62411925901.30053;12169662.722552504;70060994.9797;0.22481012150923352
2826101.9197939495;3553640.916497742;692448516.0320781;67478797276.100365;9589005.546344003;21568970.575390663;0.429400571480284
36295051.65358606;4523292.898769227;49434193115.72343;64969185303.226524;2510024.517078715;36323179.13413739;0.42162080125391344
14784683.95241066;8285434.32955775;19278479328.557884;58370684130.25427;9258165.014146874;31799466.158272877;0.30874596566425316
12166780.477393083;927439.9209513541;71235426595.48451;38844075776.32221;3846096.247550228;19247936.569548905;0.4664465157980461
81092325.79649504;4309997.988923222;141184094853.52365;51461774024.86233;1631510.2269443343;61070822.99713896;0.41672017295629105
19818065.37517302;12231116.950313486;24272625142.621525;32842159438.993782;13041722.951386962;37831332.05922388;0.2548275627151305
54758310.16728209;2381863.085717673;36543532330.04217;22275830178.93162;5182795.639326246;38772176.4420407;0.328228089237253
37170425.39148418;12125095.994449262;15824887803.348522;14609318630.12966;14138611.77709777;44222499.9884965;0.22964164456046476
64839950.84072055;2378184.8797546118;117847844773.75914;53841140736.45684;8025319.308255363;54842188.48213425;0.27424375078002083
96033377.4346886;15168616.004788069;37163132631.634476;46339751693.36297;12175914.604874147;80817935.77940142;0.2212734384488666
68273362.21479386;12183860.864470042;36443186179.59171;43292857914.00417;7441037.203267325;59938838.261239804;0.27750000463226365
92452557.17215584;5186169.948755806;177999416814.89362;23304861080.259663;7374654.293471662;70069082.00580096;0.27240573861740647
36105906.56669195;8499889.074369654;87029705472.21364;53583295700.525665;14232697.785310958;49504473.73689483;0.23267899521230895
65976040.082200006;17382872.618980806;83222791069.43184;47656435273.37918;6997779.34771797;66861664.90714039;0.2828882287590152
13483021.36945392;14101051.227000723;138897520430.42432;32517348679.661545;12417875.644965883;42388795.98598421;0.26615820607602303
